iter	MultiClass
0	0.8298391744
1	0.616967297
2	0.4933033943
3	0.4124562081
4	0.3570205411
5	0.3151708116
6	0.2849640542
7	0.2614884724
8	0.2449590012
9	0.2317422196
10	0.2219957482
11	0.2141942154
12	0.208298656
13	0.2026372051
14	0.1985396357
15	0.1955443841
16	0.1933407659
17	0.1908556213
18	0.1893114411
19	0.1880596304
20	0.1868122209
21	0.1862939713
22	0.1854894
23	0.184232855
24	0.1835399981
25	0.1829483364
26	0.1824652021
27	0.1819631489
28	0.1815359478
29	0.1809861158
30	0.1806552737
31	0.1804906768
32	0.1801984944
33	0.1798138998
34	0.1797463396
35	0.1795741281
36	0.179261018
37	0.1791415989
38	0.1789191206
39	0.1786642552
40	0.1785050746
41	0.1783746811
42	0.1782044966
43	0.1779939075
44	0.1778258724
45	0.1777384134
46	0.1775888259
47	0.1774764619
48	0.1772635846
49	0.1770506362
50	0.1769920782
51	0.1768140295
52	0.1767454449
53	0.1766561383
54	0.1765826986
55	0.1765184649
56	0.1764363098
57	0.1763250973
58	0.1762684808
59	0.1762043377
60	0.1761474436
61	0.1759857219
62	0.1759475014
63	0.1758912621
64	0.175852252
65	0.1757889406
66	0.1757275386
67	0.1756315786
68	0.1755670645
69	0.1755070358
70	0.1754129144
71	0.1753068792
72	0.1752760636
73	0.1751912034
74	0.175160491
75	0.1750908108
76	0.1750208633
77	0.1749605348
78	0.174895381
79	0.1748795116
80	0.1748395114
81	0.1748173891
82	0.1747781291
83	0.1747479497
84	0.1746960218
85	0.1746632157
86	0.174640034
87	0.1745750829
88	0.1745146275
89	0.1744891963
90	0.1743863542
91	0.1743727016
92	0.1743001309
93	0.1742025086
94	0.1741272105
95	0.1740733775
96	0.1740517395
97	0.1739805518
98	0.1738599454
99	0.1738023531
100	0.173774342
101	0.1737341064
102	0.1736986668
103	0.1736764819
104	0.1736079769
105	0.1735274874
106	0.1734886972
107	0.1734585397
108	0.1733974988
109	0.1733542681
110	0.1733178737
111	0.1732818719
112	0.1732546122
113	0.173223277
114	0.1731825851
115	0.173155477
116	0.1731104549
117	0.1730573453
118	0.1729849441
119	0.172944293
120	0.1729218775
121	0.1728608457
122	0.1728205494
123	0.1727961821
124	0.1727562674
125	0.1727231315
126	0.1726846922
127	0.1726691113
128	0.172632722
129	0.1726091571
130	0.1725929052
131	0.172583073
132	0.1725380128
133	0.1725167993
134	0.1724897428
135	0.1724414259
136	0.1723971296
137	0.1723578713
138	0.1723286006
139	0.172296948
140	0.1722864098
141	0.1722423594
142	0.1722125042
143	0.1722005783
144	0.1721702289
145	0.1721273251
146	0.1721111808
147	0.172091531
148	0.1720719163
149	0.1720552469
150	0.1720055029
151	0.1719724045
152	0.1719474377
153	0.1719201312
154	0.1718980837
155	0.171873292
156	0.1718283412
157	0.1718161075
158	0.1717948971
159	0.1717675586
160	0.1717493605
161	0.1717354558
162	0.1717114413
163	0.1716484018
164	0.1716358245
165	0.1716071813
166	0.1715762875
167	0.1715439767
168	0.1715320135
169	0.1714963802
170	0.1714451384
171	0.1714034449
172	0.1713875037
173	0.1713624777
174	0.1713380593
175	0.1713213693
176	0.1713109907
177	0.1712775781
178	0.1712663705
179	0.1712468954
180	0.1712158352
181	0.1711726335
182	0.1711232145
183	0.1711052686
184	0.1710809713
185	0.1710481515
186	0.1710318492
187	0.171007466
188	0.1709714609
189	0.1709379031
190	0.1709292112
191	0.1708997681
192	0.1708852353
193	0.1708704651
194	0.1708560754
195	0.1708301398
196	0.1708126653
197	0.1707774474
198	0.1707531939
199	0.1707355986
200	0.1707143203
201	0.170684292
202	0.1706599021
203	0.1706395796
204	0.1705976482
205	0.1705840593
206	0.1705764972
207	0.1705604427
208	0.1705506498
209	0.1705300485
210	0.1705065256
211	0.1704837946
212	0.170455673
213	0.1704263543
214	0.17041503
215	0.1703962267
216	0.1703759798
217	0.1703479426
218	0.170300565
219	0.1702700108
220	0.1702432432
221	0.1702115613
222	0.1701897101
223	0.1701782991
224	0.1701645425
225	0.1701458056
226	0.1701333014
227	0.1701036535
228	0.1700957882
229	0.1700744277
230	0.1700427849
231	0.1700348288
232	0.1700292187
233	0.1700019703
234	0.1699903978
235	0.1699783728
236	0.1699640959
237	0.1699343093
238	0.1699124984
239	0.1698889283
240	0.1698706859
241	0.1698553744
242	0.1698372552
243	0.1698296107
244	0.1698049985
245	0.1697912952
246	0.1697606742
247	0.169739046
248	0.1697288516
249	0.1697087001
250	0.1696836255
251	0.1696783095
252	0.1696699038
253	0.1696645607
254	0.1696481827
255	0.1696167332
256	0.1695958872
257	0.169586444
258	0.1695793405
259	0.1695665919
260	0.1695555058
261	0.169530911
262	0.1695109623
263	0.1695023964
264	0.1694951491
265	0.169477564
266	0.1694637745
267	0.1694431326
268	0.1694373891
269	0.1694191522
270	0.1693882623
271	0.1693652007
272	0.1693416618
273	0.16932542
274	0.1692990178
275	0.1692793463
276	0.1692612397
277	0.1692460697
278	0.1692313052
279	0.1692219975
